연번,이름,생년월일,현재 나이,연령대,성별,휴대폰 번호,이메일,고객 구분,아이디,가입일,가입 이후 경과 기간,주소,거주 지역,인구 밀도,GDP (조 원),1인당 GDP (만 원),고객 등급,회원가입 이후 구매 이력,최근 구매 제품,차량 사이즈,차량 유형,최근 구매 날짜,최근 구매 연도,최근 구매 시즌,최근 구매 시점,구매 요일,최근 구매 요일,마지막 구매 이후 경과 기간,최근 구매 당시 나이,최근 거래 금액,누적 구매 금액,평균 구매 금액,등급 점수,금액 점수,고객 등급 점수,할부 여부,거래 방식,구매 경로,차량 구매 횟수,구매 빈도 점수,신차 구매 지수,고객 평생 가치,고객 그룹,구매 시즌,구매 요일,고객 충성도 지수,등급
139,이준호,1996.10.26,29,20대 후반,여,064-776-5924,sangceolgim@jusighoesa.com,개인,miyeonggim,2024.3.8,377,울산광역시 남구 달동 23-5,울산광역시,1041,26,7751,VIP,X,넥쏘,중형,SUV,2023.11.30,2023,가을,2023 4분기,3,평일,476,27,71670000,772880000,53187500,1,3,6,1,3,0,3,1,0.015,1209557200,BVC,가을,3,62,일반
140,한성수,1959.4.25,66,60대 중반,여,062-160-6151,wyun@iim.net,개인,li,2022.7.16,978,경상남도 창원시 의창구 봉곡동 48-6,경상남도 창원시,1338,127,3000,VIP,O,G80,대형,세단,2023.6.8,2023,여름,2023 2분기,3,평일,651,64,88410000,507650000,64562308,0,2,5,1,1,0,2,1,0.003,347740250,FMB,여름,3,47,이탈가능
141,이명숙,1992.1.31,33,30대 중반,여,051-702-6616,songjaeho@gimi.com,개인,jeonghyigim,2023.12.31,445,인천광역시 남동구 구월동 88-10,인천광역시,2820,117,3000,VIP,X,아반떼N,준중형,세단,2023.9.23,2023,가을,2023 3분기,5,주말,544,31,33440000,562740000,51586471,3,4,8,0,3,1,5,1,0.016,1068643260,BVC,가을,5,83,일반
142,김민석,2003.3.8,22,20대 초반,남,010-2372-0942,songjeonghyi@naver.com,개인,gwangsuson,2022.10.8,894,충청북도 청주시 상당구 낙실동 9-1,충청북도 청주시,907,54,3000,VIP,O,넥쏘,중형,SUV,2023.8.10,2023,여름,2023 3분기,3,평일,588,20,70740000,641810000,63099565,1,3,6,1,1,1,3,1,0.005,834353000,FMB,여름,3,62,일반
143,고수민,1996.2.24,29,20대 후반,남,053-176-4468,pi@ju.com,개인,gimjihye,2024.8.5,227,경상북도 포항시 남구 대도동 19-2,경상북도 포항시,436,121,3000,일반,O,넥쏘,중형,SUV,2024.9.17,2024,가을,2024 3분기,1,평일,184,28,71490000,621720000,59402500,2,2,5,1,3,1,1,2,0.007,261122400,EVC,가을,1,47,이탈가능
144,서지훈,1969.7.24,56,50대 중반,남,055-054-3608,seosiu@hotmail.com,개인,bagseongho,2022.7.19,975,부산광역시 해운대구 우동 101-12,부산광역시,4258,114,3000,VIP,O,아반떼N,준중형,세단,2023.11.2,2023,가을,2023 4분기,3,평일,504,54,38250000,573550000,47520000,2,2,6,0,3,0,3,1,0.004,666465100,FMB,가을,3,55,일반
145,김현우,1984.12.28,41,40대 초반,여,019-036-2316,hyeonju80@ju.kr,개인,yheo,2024.12.16,94,경기도 수원시 영통구 원천동 12-34,경기도 수원시,9879,594,4649,VIP,X,아반떼N,준중형,세단,2024.9.27,2024,가을,2024 3분기,4,평일,174,40,36450000,502220000,53551538,3,3,8,0,1,0,5,3,0.067,851262900,FMB,가을,4,87,vip
146,김영환,1957.3.8,68,60대 후반,여,044-214-8023,yeonghwani@dreamwiz.com,개인,sangceolhwang,2023.6.6,653,전라남도 목포시 부주동 77-8,전라남도 목포시,4093,73,3000,VIP,O,G70,중형,세단,2024.10.18,2024,가을,2024 4분기,4,평일,153,67,45820000,133180000,57152308,3,4,8,1,1,0,5,3,0.003,59931000,EVC,가을,4,94,vip
147,이건우,1958.7.27,67,60대 후반,남,019-378-2527,minjungim@yuhanhoesa.com,개인,xgim,2022.8.20,943,전라북도 전주시 완산구 덕진동 33-7,전라북도 전주시,3099,88,3000,VIP,O,아반떼N,준중형,세단,2024.4.22,2024,봄,2024 2분기,0,평일,332,66,38980000,310400000,58540000,2,2,7,0,1,1,3,2,0.002,195241600,EVC,봄,0,63,일반
148,진윤서,1988.1.21,37,30대 후반,남,055-909-9267,oseong@yu.com,개인,gimseongho,2023.11.4,502,경기도 수원시 영통구 원천동 12-34,경기도 수원시,9879,594,4649,일반,O,아반떼N,준중형,세단,2023.12.28,2023,겨울,2023 4분기,3,평일,448,35,33470000,535690000,53551538,2,2,5,0,1,1,1,1,0.003,193919780,EVC,겨울,3,42,이탈가능
149,이영자,1982.9.28,43,40대 중반,여,031-256-0870,baghaeun@naver.com,개인,jia75,2023.1.16,794,경기도 성남시 분당구 정자동 56-78,경기도 성남시,6467,594,4649,VIP,O,G70,중형,세단,2024.1.29,2024,겨울,2024 1분기,0,평일,416,42,50850000,393230000,55905263,3,3,8,1,3,0,3,1,0.004,313011080,EVC,겨울,0,67,일반
150,최명자,2000.11.20,25,20대 중반,남,054-894-5954,gimseonghun@gimno.com,개인,caeweon09,2024.6.28,265,광주광역시 서구 치평동 14-7,광주광역시,2921,52,3090,일반,X,넥쏘,중형,SUV,2023.11.26,2023,가을,2023 4분기,6,주말,480,23,70020000,722740000,61140833,3,2,5,1,1,1,1,1,0.007,352697120,FMB,가을,6,42,이탈가능
151,류민석,1971.3.27,54,50대 중반,남,070-0215-2884,minji83@live.com,개인,gimjihyeon,2022.10.13,889,울산광역시 남구 달동 23-5,울산광역시,1041,26,7751,VIP,O,G70,중형,세단,2024.1.1,2024,겨울,2024 1분기,0,평일,444,53,50390000,823270000,53187500,3,4,8,1,3,0,5,1,0.012,2287867330,SPC,겨울,0,83,일반
152,성정자,1988.10.8,37,30대 후반,남,062-574-9396,yeeun88@dreamwiz.com,개인,imigyeong,2024.11.16,124,울산광역시 남구 달동 23-5,울산광역시,1041,26,7751,VIP,X,싼타페,중형,SUV,2023.10.12,2023,가을,2023 4분기,3,평일,525,35,40830000,864100000,53187500,1,3,6,1,3,1,4,1,0.07,2015945300,SPC,가을,3,67,일반
153,이영환,1998.4.21,27,20대 후반,남,044-955-3033,yeongceol30@jusighoesa.kr,개인,idoyun,2023.8.24,574,충청북도 청주시 상당구 낙실동 9-1,충청북도 청주시,907,54,3000,일반,O,싼타페,중형,SUV,2023.11.3,2023,가을,2023 4분기,4,평일,503,25,53510000,695320000,63099565,1,2,4,1,3,1,1,1,0.003,326105080,EVC,가을,4,40,이탈가능
154,이준영,2002.11.12,23,20대 중반,여,054-106-6090,mhwang@hanmail.net,개인,baggyeongsug,2025.1.20,59,서울특별시 강남구 역삼동 123-45,서울특별시,15533,548,5161,신규,X,싼타페,중형,SUV,2024.9.20,2024,가을,2024 3분기,4,평일,181,22,47140000,309300000,55721250,2,2,5,1,3,1,1,2,0.013,64643700,EVC,가을,4,47,이탈가능
155,김경자,1962.11.22,63,60대 중반,여,053-945-9083,gimogja@gimgimbag.org,개인,gojihye,2023.1.14,796,서울특별시 종로구 청운동 67-89,서울특별시,15533,548,5161,VIP,O,G70,중형,세단,2023.12.21,2023,겨울,2023 4분기,3,평일,455,61,46200000,793770000,61722917,0,3,5,1,1,1,4,1,0.01,1701049110,SPC,겨울,3,64,일반
156,이혜진,1956.5.7,69,60대 후반,여,016-543-6491,ycoe@dreamwiz.com,개인,jiweonmin,2024.6.10,283,광주광역시 서구 치평동 14-7,광주광역시,2921,52,3090,VIP,X,G70,중형,세단,2023.3.14,2023,봄,2023 1분기,1,평일,737,67,49430000,772170000,61140833,2,3,7,1,3,1,5,1,0.034,2012275020,SPC,봄,1,74,이탈가능
157,곽옥순,2001.4.7,24,20대 중반,여,02-4743-0405,yujini@hotmail.com,개인,jihyeyun,2023.1.1,809,대전광역시 유성구 봉명동 44-2,대전광역시,2731,64,3000,VIP,O,아반떼N,준중형,세단,2024.1.1,2024,겨울,2024 1분기,0,평일,444,23,38520000,464700000,52128462,2,2,6,0,1,0,3,1,0.004,437282700,FMB,겨울,0,55,일반
158,김시우,1981.2.3,44,40대 중반,남,051-416-1404,bagjiu@daum.net,개인,jihugim,2023.8.7,591,전라남도 목포시 부주동 77-8,전라남도 목포시,4093,73,3000,VIP,O,싼타페,중형,SUV,2025.1.20,2025,겨울,2025 1분기,0,평일,59,44,39140000,172320000,57152308,1,3,6,0,2,0,2,4,0.001,40150560,EVC,겨울,0,72,일반
159,윤재호,1994.10.15,31,30대 초반,남,019-274-7240,pi@gimiheo.org,개인,bagyeongsun,2022.6.15,1009,대구광역시 수성구 범어동 55-3,대구광역시,2666,90,2674,VIP,O,G80,대형,세단,2023.10.13,2023,가을,2023 4분기,4,평일,524,29,87490000,546920000,52958333,2,2,6,1,3,1,2,1,0.003,403626960,FMB,가을,4,50,이탈가능
160,강종수,1982.9.28,43,40대 중반,남,054-107-1543,seohyeonson@seoiha.com,개인,jihugim,2023.3.6,745,대전광역시 유성구 봉명동 44-2,대전광역시,2731,64,3000,일반,O,넥쏘,중형,SUV,2024.7.26,2024,여름,2024 3분기,4,평일,237,42,70790000,535490000,52128462,3,1,5,1,1,1,1,2,0.002,193311890,EVC,여름,4,41,이탈가능
161,성성수,1985.7.24,40,40대 초반,남,063-749-2202,yeonghwan20@gmail.com,개인,mijeong41,2023.1.12,798,충청북도 청주시 상당구 낙실동 9-1,충청북도 청주시,907,54,3000,일반,O,G80,대형,세단,2023.12.15,2023,겨울,2023 4분기,4,평일,461,38,82930000,778250000,63099565,2,1,4,1,2,0,1,1,0.002,408581250,FMB,겨울,4,33,이탈가능
162,정지혜,1968.12.19,57,50대 후반,남,064-782-9705,junseo28@daum.net,개인,ggang,2023.7.10,619,경기도 성남시 분당구 정자동 56-78,경기도 성남시,6467,594,4649,VIP,O,아반떼N,준중형,세단,2024.7.21,2024,여름,2024 3분기,6,주말,242,56,38520000,431750000,55905263,0,3,5,0,2,1,2,2,0.003,251710250,EVC,여름,6,59,일반
163,손아름,1997.8.25,28,20대 후반,남,062-718-8934,ji@live.com,개인,jinho57,2023.5.31,659,경상북도 포항시 남구 대도동 19-2,경상북도 포항시,436,121,3000,VIP,O,넥쏘,중형,SUV,2024.5.16,2024,봄,2024 2분기,3,평일,308,27,70300000,692020000,59402500,2,2,6,1,3,1,3,2,0.008,969520020,BVC,봄,3,60,일반
164,조성호,1985.5.11,40,40대 초반,여,061-222-9939,ygim@icoe.net,개인,minjunheo,2023.10.6,531,대구광역시 수성구 범어동 55-3,대구광역시,2666,90,2674,VIP,X,아반떼N,준중형,세단,2023.9.25,2023,가을,2023 3분기,0,평일,542,38,36690000,583610000,52958333,2,3,7,0,2,1,3,1,0.008,689827020,FMB,가을,0,64,일반
165,김수민,2000.7.4,25,20대 중반,남,042-448-2472,hhwang@gimi.kr,개인,kgang,2022.3.13,1103,경기도 수원시 영통구 원천동 12-34,경기도 수원시,9879,594,4649,일반,O,G80,대형,세단,2023.3.27,2023,봄,2023 1분기,0,평일,724,23,85490000,621180000,53551538,1,1,3,1,1,1,1,1,0.001,260274420,EVC,봄,0,31,이탈가능
166,김민준,1958.9.2,67,60대 후반,남,043-165-6918,qyun@daum.net,개인,jihyegim,2024.1.12,433,전라남도 목포시 부주동 77-8,전라남도 목포시,4093,73,3000,일반,X,넥쏘,중형,SUV,2023.12.25,2023,겨울,2023 4분기,0,평일,451,65,72060000,244380000,57152308,0,2,3,1,2,0,1,1,0.001,40322700,EVC,겨울,0,37,이탈가능
167,이경숙,1997.1.22,28,20대 후반,여,063-318-8654,vseo@nate.com,개인,qcoe,2024.6.3,290,충청남도 천안시 동남구 성성동 22-3,충청남도 천안시,1036,143,5894,VIP,X,아반떼N,준중형,세단,2023.10.20,2023,가을,2023 4분기,4,평일,517,26,38860000,513860000,51764286,1,3,6,0,2,0,3,1,0.013,534928260,FMB,가을,4,62,일반
168,황도윤,1976.6.2,49,40대 후반,남,011-361-9602,sugja86@hanmail.net,개인,yeonghyigim,2023.3.25,726,서울특별시 종로구 청운동 67-89,서울특별시,15533,548,5161,VIP,O,넥쏘,중형,SUV,2023.11.29,2023,가을,2023 4분기,2,평일,477,47,69840000,863610000,61722917,0,2,5,1,2,0,2,1,0.006,1006969260,BVC,가을,2,47,이탈가능
169,강영자,1956.3.6,69,60대 후반,여,043-795-5239,qyun@nate.com,개인,lgim,2024.1.10,435,충청북도 청주시 상당구 낙실동 9-1,충청북도 청주시,907,54,3000,VIP,O,넥쏘,중형,SUV,2025.1.31,2025,겨울,2025 1분기,4,평일,48,69,70220000,848470000,63099565,1,3,6,1,3,0,5,4,0.024,2430018080,SPC,겨울,4,87,vip
170,이지민,1989.10.30,36,30대 중반,여,032-829-9655,vgim@ju.net,개인,imyeongsug,2022.7.27,967,경기도 성남시 분당구 정자동 56-78,경기도 성남시,6467,594,4649,일반,O,G70,중형,세단,2024.1.19,2024,겨울,2024 1분기,4,평일,426,35,49660000,481410000,55905263,1,2,4,1,3,1,1,1,0.001,156458250,EVC,겨울,4,40,이탈가능
171,남지연,1987.2.22,38,30대 후반,남,053-140-5696,minjae16@nate.com,개인,hanyeongsig,2023.6.6,653,경기도 수원시 영통구 원천동 12-34,경기도 수원시,9879,594,4649,VIP,X,넥쏘,중형,SUV,2023.4.22,2023,봄,2023 2분기,5,주말,698,36,70480000,691660000,53551538,1,2,5,1,2,0,2,1,0.005,646010440,FMB,봄,5,47,이탈가능
172,이은서,1963.10.11,62,60대 초반,남,033-818-4794,gwangsugang@daum.net,개인,jiahan,2022.8.12,951,서울특별시 강남구 역삼동 123-45,서울특별시,15533,548,5161,신규,O,G70,중형,세단,2024.11.11,2024,가을,2024 4분기,0,평일,129,61,44460000,353760000,55721250,1,2,4,1,2,0,1,3,0.001,84548640,EVC,가을,0,50,이탈가능
173,정예원,1971.7.20,54,50대 중반,여,044-883-9197,dgim@jigimryu.kr,개인,sanghyeon96,2024.12.17,93,경상북도 포항시 남구 대도동 19-2,경상북도 포항시,436,121,3000,VIP,X,아반떼N,준중형,세단,2023.10.8,2023,가을,2023 4분기,6,주말,529,52,35180000,727200000,59402500,3,3,8,0,2,0,4,1,0.078,1428220800,BVC,가을,6,72,일반
174,신성현,1968.7.6,57,50대 후반,남,052-691-4844,ahwang@jusighoesa.net,개인,jihugang,2023.5.6,684,광주광역시 서구 치평동 14-7,광주광역시,2921,52,3090,VIP,O,넥쏘,중형,SUV,2024.12.28,2024,겨울,2024 4분기,5,주말,82,56,70990000,843160000,61140833,3,4,8,1,1,0,5,4,0.015,2399633360,SPC,겨울,5,99,vip
175,민정호,1969.8.16,56,50대 중반,여,041-291-9081,seongsugim@naver.com,개인,sumini,2025.3.4,16,전라남도 목포시 부주동 77-8,전라남도 목포시,4093,73,3000,VIP,X,G70,중형,세단,2023.5.21,2023,봄,2023 2분기,6,주말,669,54,44070000,288450000,57152308,0,3,5,1,2,0,5,1,0.226,280950300,EVC,봄,6,69,일반
176,박지원,1963.12.25,62,60대 초반,남,070-1378-2398,hayun60@live.com,개인,fseo,2024.8.25,207,경상남도 창원시 의창구 봉곡동 48-6,경상남도 창원시,1338,127,3000,VIP,X,G80,대형,세단,2024.5.23,2024,봄,2024 2분기,3,평일,301,61,86140000,593790000,64562308,2,3,7,1,3,0,4,2,0.029,951845370,BVC,봄,3,74,일반
177,김영자,1976.10.26,49,40대 후반,남,052-077-3080,jia19@yu.kr,개인,iyujin,2024.4.28,326,전라남도 목포시 부주동 77-8,전라남도 목포시,4093,73,3000,VIP,O,넥쏘,중형,SUV,2024.5.25,2024,봄,2024 2분기,5,주말,299,48,70060000,358510000,57152308,3,2,8,1,2,0,4,2,0.011,347037680,FMB,봄,5,71,일반
178,이서윤,1966.1.1,59,50대 후반,여,032-094-1834,ji@daum.net,개인,jeongsugyang,2023.3.14,737,서울특별시 강남구 역삼동 123-45,서울특별시,15533,548,5161,VIP,O,G70,중형,세단,2023.10.12,2023,가을,2023 4분기,3,평일,525,57,46700000,400460000,55721250,3,2,8,1,3,1,4,1,0.005,432897260,FMB,가을,3,65,일반
179,송지은,1954.7.31,71,70대 초반,여,031-194-0436,pcoe@daum.net,개인,sugja08,2023.7.7,622,부산광역시 해운대구 우동 101-12,부산광역시,4258,114,3000,VIP,O,G70,중형,세단,2024.10.29,2024,가을,2024 4분기,1,평일,142,70,50770000,624320000,47520000,0,4,5,1,1,1,4,3,0.01,1052603520,BVC,가을,1,81,vip
180,이서연,1989.3.12,36,30대 중반,남,054-402-5332,gimjimin@dreamwiz.com,개인,hyejinseo,2024.2.4,410,부산광역시 해운대구 우동 101-12,부산광역시,4258,114,3000,VIP,X,넥쏘,중형,SUV,2023.12.5,2023,겨울,2023 4분기,1,평일,471,34,70350000,694670000,47520000,2,2,6,1,1,1,3,1,0.013,977400690,BVC,겨울,1,55,일반
181,김성호,1985.6.25,40,40대 초반,여,016-385-1242,ygim@hanmail.net,개인,jia98,2022.8.4,959,대구광역시 수성구 범어동 55-3,대구광역시,2666,90,2674,VIP,O,싼타페,중형,SUV,2024.3.2,2024,봄,2024 1분기,5,주말,383,39,48210000,631820000,52958333,0,3,5,1,2,0,5,1,0.008,1347672060,BVC,봄,5,69,일반
182,홍정숙,1955.1.5,70,70대 초반,남,033-339-1865,minjae03@gmail.com,개인,jeongung32,2022.10.19,883,광주광역시 서구 치평동 14-7,광주광역시,2921,52,3090,VIP,O,싼타페,중형,SUV,2024.4.25,2024,봄,2024 2분기,3,평일,329,69,54580000,897740000,61140833,3,4,8,1,1,0,5,2,0.013,2720152200,SPC,봄,3,88,vip
183,박혜진,1978.5.30,47,40대 후반,남,052-925-4265,idonghyeon@nate.com,개인,sgim,2022.7.9,985,서울특별시 종로구 청운동 67-89,서울특별시,15533,548,5161,일반,O,G70,중형,세단,2023.12.11,2023,겨울,2023 4분기,0,평일,465,45,50530000,914140000,61722917,2,2,5,1,1,0,1,1,0.002,564024380,FMB,겨울,0,42,이탈가능
184,이정훈,1962.4.15,63,60대 중반,남,041-956-4884,wi@jangjono.org,개인,gyeongjaeom,2023.9.10,557,경기도 수원시 영통구 원천동 12-34,경기도 수원시,9879,594,4649,VIP,O,아반떼N,준중형,세단,2025.1.11,2025,겨울,2025 1분기,5,주말,68,63,41220000,732880000,53551538,0,2,3,1,3,0,2,4,0.007,724818320,FMB,겨울,5,58,일반
185,이승현,1982.2.17,43,40대 중반,여,011-220-1097,sanghun90@yuhanhoesa.net,개인,yeongsig47,2024.8.1,231,대전광역시 유성구 봉명동 44-2,대전광역시,2731,64,3000,VIP,X,아반떼N,준중형,세단,2024.7.17,2024,여름,2024 3분기,2,평일,246,42,34440000,569930000,52128462,3,3,8,0,1,0,4,2,0.025,877122270,BVC,여름,2,77,일반
186,박채원,1964.11.10,61,60대 초반,여,044-904-2678,qmun@nate.com,개인,yejison,2022.11.7,864,부산광역시 해운대구 우동 101-12,부산광역시,4258,114,3000,신규,O,아반떼N,준중형,세단,2024.10.14,2024,가을,2024 4분기,0,평일,157,60,38020000,732690000,47520000,0,2,3,0,2,1,1,3,0.002,362681550,FMB,가을,0,47,이탈가능
187,김중수,1971.2.7,54,50대 중반,여,032-688-4921,jangyeongsun@seoian.org,개인,doyun38,2023.12.31,445,울산광역시 남구 달동 23-5,울산광역시,1041,26,7751,VIP,O,넥쏘,중형,SUV,2024.2.20,2024,겨울,2024 1분기,1,평일,394,53,70610000,934710000,53187500,2,3,7,1,3,1,4,1,0.021,2359208040,SPC,겨울,1,69,일반
188,김영호,1999.7.28,26,20대 중반,여,061-009-2153,ogim@yu.kr,개인,gimjeongsug,2022.9.21,911,인천광역시 남동구 구월동 88-10,인천광역시,2820,117,3000,VIP,O,싼타페,중형,SUV,2024.7.25,2024,여름,2024 3분기,3,평일,238,25,43570000,606310000,51586471,3,4,8,1,1,1,4,2,0.007,992529470,BVC,여름,3,83,vip
189,심동현,1999.1.19,26,20대 중반,여,070-6615-9710,kcoe@gmail.com,개인,yejun41,2024.7.23,240,서울특별시 강남구 역삼동 123-45,서울특별시,15533,548,5161,VIP,X,G70,중형,세단,2024.7.16,2024,여름,2024 3분기,1,평일,247,25,45880000,446340000,55721250,2,3,7,1,3,0,3,2,0.014,403491360,FMB,여름,1,69,일반
190,박민석,1957.8.8,68,60대 후반,남,053-382-8342,gohyeonji@live.com,개인,wi,2023.2.15,764,충청남도 천안시 동남구 성성동 22-3,충청남도 천안시,1036,143,5894,VIP,O,G80,대형,세단,2024.5.18,2024,봄,2024 2분기,5,주말,306,67,87490000,601350000,51764286,1,2,5,1,2,1,2,2,0.004,488296200,FMB,봄,5,53,일반
191,김병철,1969.1.4,56,50대 중반,남,041-324-1120,vgang@jusighoesa.kr,개인,seonghaeun,2023.12.8,468,서울특별시 종로구 청운동 67-89,서울특별시,15533,548,5161,VIP,X,G70,중형,세단,2023.8.7,2023,여름,2023 3분기,0,평일,591,54,50660000,964800000,61722917,0,3,5,1,2,1,2,1,0.01,1257134400,BVC,여름,0,54,일반
192,서영길,1972.4.13,53,50대 중반,여,043-531-1236,hi@dreamwiz.com,개인,pgo,2023.2.11,768,대구광역시 수성구 범어동 55-3,대구광역시,2666,90,2674,VIP,O,G80,대형,세단,2023.11.3,2023,가을,2023 4분기,4,평일,503,51,83350000,715170000,52958333,2,3,7,1,3,1,5,1,0.012,1726420380,SPC,가을,4,74,일반
193,홍현숙,1959.10.2,66,60대 중반,남,043-342-4176,jangjunhyeog@dreamwiz.com,개인,eunju52,2024.11.17,123,충청북도 청주시 상당구 낙실동 9-1,충청북도 청주시,907,54,3000,VIP,X,G80,대형,세단,2024.10.16,2024,가을,2024 4분기,2,평일,155,65,87700000,936170000,63099565,2,4,7,1,3,0,4,3,0.076,2366637760,SPC,가을,2,86,vip
194,박아름,1956.10.6,69,60대 후반,남,051-791-2267,yejin22@gimcoe.org,개인,qryu,2022.7.16,978,전라남도 목포시 부주동 77-8,전라남도 목포시,4093,73,3000,VIP,O,싼타페,중형,SUV,2023.12.28,2023,겨울,2023 4분기,3,평일,448,67,52470000,410980000,57152308,3,2,7,1,1,1,2,1,0.002,228093900,EVC,겨울,3,53,일반
195,김광수,1974.10.18,51,50대 초반,남,011-398-0609,yunogja@angim.com,개인,zgim,2022.9.3,929,대구광역시 수성구 범어동 55-3,대구광역시,2666,90,2674,VIP,O,넥쏘,중형,SUV,2024.1.11,2024,겨울,2024 1분기,3,평일,434,50,69660000,784830000,52958333,3,2,7,1,1,1,3,1,0.006,1247094870,BVC,겨울,3,58,일반
196,오민준,1988.5.29,37,30대 후반,남,064-731-2054,gimhyeonjeong@hwangbagryu.kr,개인,yeonggil14,2024.8.13,219,울산광역시 남구 달동 23-5,울산광역시,1041,26,7751,신규,O,싼타페,중형,SUV,2025.2.28,2025,겨울,2025 1분기,4,평일,20,37,47700000,982410000,53187500,0,2,3,1,3,1,1,5,0.011,651337830,FMB,겨울,4,58,신규
197,김성현,1973.9.24,52,50대 초반,남,062-326-6677,gimseoyeong@yu.org,개인,hayun28,2022.5.18,1037,경기도 수원시 영통구 원천동 12-34,경기도 수원시,9879,594,4649,VIP,O,G70,중형,세단,2025.3.5,2025,봄,2025 1분기,2,평일,15,52,45820000,778700000,53551538,1,2,6,1,2,1,2,5,0.004,818413700,FMB,봄,2,71,일반
198,김예진,1990.1.15,35,30대 중반,남,042-517-0040,ji@hotmail.com,개인,songjeonghyi,2024.3.17,368,광주광역시 서구 치평동 14-7,광주광역시,2921,52,3090,일반,O,아반떼N,준중형,세단,2024.5.16,2024,봄,2024 2분기,3,평일,308,34,36100000,933840000,61140833,3,1,5,0,1,1,1,2,0.006,588319200,FMB,봄,3,41,이탈가능
199,손준호,1986.3.5,39,30대 후반,남,070-0150-7134,xgim@yu.kr,개인,gimeunyeong,2023.3.5,746,인천광역시 남동구 구월동 88-10,인천광역시,2820,117,3000,신규,O,G80,대형,세단,2025.2.17,2025,겨울,2025 1분기,0,평일,31,39,85810000,692120000,51586471,2,2,5,1,3,0,1,4,0.002,323220040,EVC,겨울,0,58,신규
200,최현우,1962.3.29,63,60대 중반,남,063-354-7740,jihyeongim@jusighoesa.kr,개인,bagyujin,2024.2.19,395,인천광역시 남동구 구월동 88-10,인천광역시,2820,117,3000,VIP,O,싼타페,중형,SUV,2024.10.7,2024,가을,2024 4분기,0,평일,164,62,45300000,737420000,51586471,1,4,6,1,2,0,5,3,0.023,1835438380,SPC,가을,0,88,vip
201,배재현,2001.12.2,24,20대 중반,여,054-708-1976,dbag@daum.net,개인,hyeonju98,2024.2.29,385,경기도 수원시 영통구 원천동 12-34,경기도 수원시,9879,594,4649,VIP,X,G70,중형,세단,2023.5.9,2023,봄,2023 2분기,1,평일,681,22,50190000,828890000,53551538,2,4,7,1,3,1,5,1,0.027,2319234220,SPC,봄,1,81,일반
202,서지영,1964.7.21,61,60대 초반,여,044-741-1486,jihun48@ju.kr,개인,isujin,2023.3.16,735,충청남도 천안시 동남구 성성동 22-3,충청남도 천안시,1036,143,5894,VIP,O,G70,중형,세단,2023.10.8,2023,가을,2023 4분기,6,주말,529,59,48080000,649430000,51764286,3,2,6,1,2,0,2,1,0.004,569550110,FMB,가을,6,50,이탈가능
203,김진호,2002.6.4,23,20대 중반,여,018-315-1577,gimhyeonjun@gimgo.net,개인,haeunjo,2022.12.16,825,부산광역시 해운대구 우동 101-12,부산광역시,4258,114,3000,일반,O,싼타페,중형,SUV,2023.6.16,2023,여름,2023 2분기,4,평일,643,21,50200000,782890000,47520000,1,2,4,1,2,1,1,1,0.002,413365920,FMB,여름,4,40,이탈가능
204,이영철,1981.7.10,44,40대 중반,여,031-224-5926,iyeongsun@yu.org,개인,hgang,2023.5.23,667,인천광역시 남동구 구월동 88-10,인천광역시,2820,117,3000,VIP,X,G70,중형,세단,2023.3.20,2023,봄,2023 1분기,0,평일,731,42,45450000,782870000,51586471,2,3,7,1,3,0,5,1,0.015,2068342540,SPC,봄,0,74,이탈가능
205,서지원,1973.5.11,52,50대 초반,여,051-659-0158,gohyeonu@yuhanhoesa.com,개인,munjungsu,2023.6.29,630,전라남도 목포시 부주동 77-8,전라남도 목포시,4093,73,3000,VIP,O,G80,대형,세단,2025.1.22,2025,겨울,2025 1분기,2,평일,57,52,86290000,497270000,57152308,3,4,8,1,2,0,5,4,0.01,834419060,FMB,겨울,2,99,vip
206,조선영,1981.2.27,44,40대 중반,여,032-086-3570,gimeunseo@live.com,개인,sanghyeongo,2024.8.10,222,서울특별시 종로구 청운동 67-89,서울특별시,15533,548,5161,VIP,O,G70,중형,세단,2024.11.21,2024,가을,2024 4분기,3,평일,119,43,44660000,1009460000,61722917,3,2,8,1,2,0,2,3,0.023,1375893980,BVC,가을,3,65,일반
207,권영자,1968.1.7,57,50대 후반,여,017-445-8406,fi@yu.org,개인,jaehyeon94,2024.4.20,334,경기도 수원시 영통구 원천동 12-34,경기도 수원시,9879,594,4649,VIP,O,G80,대형,세단,2024.7.18,2024,여름,2024 3분기,3,평일,245,56,84710000,913600000,53551538,0,3,5,1,3,1,2,2,0.014,1126468800,BVC,여름,3,59,일반
208,정은지,1980.2.11,45,40대 중반,남,051-326-9405,ji@nate.com,개인,igim,2023.7.18,611,충청북도 청주시 상당구 낙실동 9-1,충청북도 청주시,907,54,3000,VIP,O,싼타페,중형,SUV,2025.1.16,2025,겨울,2025 1분기,3,평일,63,45,38660000,974830000,63099565,0,2,5,0,1,1,3,4,0.012,1924314420,SPC,겨울,3,68,일반
209,이경희,1968.9.13,57,50대 후반,남,019-031-6622,doyun69@gweonhwangseo.kr,개인,ogjabag,2022.6.14,1010,경상남도 창원시 의창구 봉곡동 48-6,경상남도 창원시,1338,127,3000,VIP,O,G70,중형,세단,2023.11.25,2023,가을,2023 4분기,5,주말,481,55,45080000,638870000,64562308,2,3,7,1,3,0,3,1,0.005,826697780,FMB,가을,5,64,일반
